target_group,supported,overall_mean,overall_min,overall_max,vulnerable_singleton,safe_singleton
tcpdump,True,0.45925925925925926,0.4320987654320987,0.5061728395061729,0.6099009900990099,0.43144424131627057
radare2,True,0.5228671328671328,0.5003496503496504,0.5374125874125875,0.6103896103896104,0.5204455623427956
vim,True,0.569921875,0.5582682291666666,0.580078125,0.7333333333333333,0.5639676113360323
chrome,True,0.5717786089879113,0.5429609150539383,0.6041632785818832,0.577889447236181,0.5716438583855061
ffmpeg,True,0.5764290755116444,0.5359915314043754,0.615031757233592,0.7239669421487603,0.5698488757832658
linux,True,0.5802091026966698,0.5140742199681586,0.6218589459517128,0.5883537023723939,0.5800188121472722
tensorflow,True,0.5846304774362329,0.5745585349901897,0.5967952910398954,0.680161943319838,0.576236214870153
php,True,0.6359686950966299,0.6198690305063089,0.6473406804024916,0.6743494423791822,0.6342456608811748
qemu,True,0.7087863463969659,0.6957964601769911,0.7220290771175727,0.7265536723163841,0.7082750772232157
openssl,True,0.7199442119944213,0.6927010692701069,0.7350069735006973,0.7833333333333334,0.7149874686716793
gpac,False,0.0,0.0,0.0,0.0,0.0
imagemagick,False,0.0,0.0,0.0,0.0,0.0
