detector,target_group,alpha_vulnerable,alpha_safe,method_baseline,max_relative_violation_baseline,vulnerable_violation_baseline,safe_violation_baseline,singleton_coverage_baseline,review_load_baseline,method_weighted,max_relative_violation_weighted,vulnerable_violation_weighted,safe_violation_weighted,singleton_coverage_weighted,review_load_weighted,baseline_worst_violation,weighted_worst_violation
codebert,FreeRDP,0.01,0.05,unweighted_mondrian,10.347517730496454,0.1034751773049645,0.0,0.2346938775510204,0.7653061224489796,estimated_weight_no_gate_clip_20,0.0,0.0,0.0,0.0622448979591836,0.9377551020408162,10.347517730496454,0.0
codebert,FreeRDP,0.01,0.1,unweighted_mondrian,10.347517730496454,0.1034751773049645,0.0,0.286734693877551,0.713265306122449,estimated_weight_no_gate_clip_20,0.0,0.0,0.0,0.1163265306122447,0.883673469387755,10.347517730496454,0.0
codebert,FreeRDP,0.01,0.2,unweighted_mondrian,10.347517730496454,0.1034751773049645,0.0,0.3561224489795918,0.6438775510204081,estimated_weight_no_gate_clip_20,0.0,0.0,0.0,0.2051020408163265,0.7948979591836735,10.347517730496454,0.0
codebert,FreeRDP,0.05,0.05,unweighted_mondrian,5.5248226950354615,0.2762411347517731,0.0,0.5183673469387755,0.4816326530612245,estimated_weight_no_gate_clip_20,5.382978723404255,0.2691489361702128,0.0,0.4979591836734693,0.5020408163265306,5.5248226950354615,5.382978723404255
codebert,FreeRDP,0.05,0.1,unweighted_mondrian,5.5248226950354615,0.2762411347517731,0.0,0.5704081632653061,0.4295918367346938,estimated_weight_no_gate_clip_20,5.382978723404255,0.2691489361702128,0.0,0.5520408163265306,0.4479591836734694,5.5248226950354615,5.382978723404255
codebert,FreeRDP,0.05,0.2,unweighted_mondrian,5.5248226950354615,0.2762411347517731,0.0,0.639795918367347,0.360204081632653,estimated_weight_no_gate_clip_20,5.382978723404255,0.2691489361702128,0.0,0.6408163265306123,0.3591836734693877,5.5248226950354615,5.382978723404255
codebert,FreeRDP,0.1,0.05,unweighted_mondrian,4.319148936170213,0.4319148936170213,0.0,0.6928571428571428,0.3071428571428571,estimated_weight_no_gate_clip_20,4.035460992907801,0.4035460992907801,0.0,0.6540816326530612,0.3459183673469387,4.319148936170213,4.035460992907801
codebert,FreeRDP,0.1,0.1,unweighted_mondrian,4.319148936170213,0.4319148936170213,0.0,0.7448979591836735,0.2551020408163265,estimated_weight_no_gate_clip_20,4.035460992907801,0.4035460992907801,0.0,0.7081632653061225,0.2918367346938775,4.319148936170213,4.035460992907801
codebert,FreeRDP,0.1,0.2,unweighted_mondrian,4.319148936170213,0.4319148936170213,0.0,0.8142857142857143,0.1857142857142857,estimated_weight_no_gate_clip_20,4.035460992907801,0.4035460992907801,0.0,0.7969387755102041,0.2030612244897959,4.319148936170213,4.035460992907801
codebert,envoy,0.01,0.05,unweighted_mondrian,8.84251968503937,0.0884251968503937,0.0,0.1879284082254379,0.812071591774562,estimated_weight_no_gate_clip_20,4.905511811023621,0.0490551181102362,0.0,0.1275704493526275,0.8724295506473723,8.84251968503937,4.905511811023621
codebert,envoy,0.01,0.1,unweighted_mondrian,8.84251968503937,0.0884251968503937,0.0,0.2353389185072353,0.7646610814927647,estimated_weight_no_gate_clip_20,4.905511811023621,0.0490551181102362,0.0,0.1951637471439451,0.8048362528560549,8.84251968503937,4.905511811023621
codebert,envoy,0.01,0.2,unweighted_mondrian,8.84251968503937,0.0884251968503937,0.0096838735494197,0.3726199543031226,0.6273800456968773,estimated_weight_no_gate_clip_20,4.905511811023621,0.0490551181102362,0.061704681872749,0.3623381568926123,0.6376618431073877,8.84251968503937,4.905511811023621
codebert,envoy,0.05,0.05,unweighted_mondrian,4.590551181102362,0.2295275590551181,0.0,0.3789032749428789,0.6210967250571211,estimated_weight_no_gate_clip_20,2.149606299212598,0.1074803149606299,0.0,0.2648514851485148,0.7351485148514851,4.590551181102362,2.149606299212598
codebert,envoy,0.05,0.1,unweighted_mondrian,4.590551181102362,0.2295275590551181,0.0,0.4263137852246762,0.5736862147753237,estimated_weight_no_gate_clip_20,2.149606299212598,0.1074803149606299,0.0,0.3324447829398324,0.6675552170601675,4.590551181102362,2.149606299212598
codebert,envoy,0.05,0.2,unweighted_mondrian,4.590551181102362,0.2295275590551181,0.0096838735494197,0.5635948210205636,0.4364051789794364,estimated_weight_no_gate_clip_20,2.149606299212598,0.1074803149606299,0.061704681872749,0.4996191926884996,0.5003808073115004,4.590551181102362,2.149606299212598
codebert,envoy,0.1,0.05,unweighted_mondrian,3.2913385826771657,0.3291338582677166,0.0,0.5405559786747905,0.4594440213252094,estimated_weight_no_gate_clip_20,1.795275590551181,0.1795275590551181,0.0,0.3764280274181264,0.6235719725818736,3.2913385826771657,1.795275590551181
codebert,envoy,0.1,0.1,unweighted_mondrian,3.2913385826771657,0.3291338582677166,0.0,0.587966488956588,0.412033511043412,estimated_weight_no_gate_clip_20,1.795275590551181,0.1795275590551181,0.0,0.4440213252094439,0.555978674790556,3.2913385826771657,1.795275590551181
codebert,envoy,0.1,0.2,unweighted_mondrian,3.2913385826771657,0.3291338582677166,0.0096838735494197,0.7252475247524752,0.2747524752475248,estimated_weight_no_gate_clip_20,1.795275590551181,0.1795275590551181,0.061704681872749,0.6111957349581112,0.3888042650418888,3.2913385826771657,1.795275590551181
codebert,ffmpeg,0.01,0.05,unweighted_mondrian,2.27188940092166,0.0,0.1135944700460828,0.2146490335707019,0.785350966429298,estimated_weight_no_gate_clip_20,0.889400921658986,0.0,0.0444700460829493,0.1495422177009155,0.8504577822990844,2.27188940092166,0.889400921658986
codebert,ffmpeg,0.01,0.1,unweighted_mondrian,1.7188940092165896,0.0,0.1718894009216589,0.3346897253306205,0.6653102746693794,estimated_weight_no_gate_clip_20,0.9470046082949308,0.0,0.094700460829493,0.25940996948118,0.7405900305188199,1.7188940092165896,0.9470046082949308
codebert,ffmpeg,0.01,0.2,unweighted_mondrian,1.165898617511521,0.0,0.2331797235023041,0.5025432349949135,0.4974567650050864,estimated_weight_no_gate_clip_20,0.6762672811059908,0.0,0.1352534562211981,0.4079348931841301,0.5920651068158698,1.165898617511521,0.6762672811059908
