detector,alpha_vulnerable,alpha_safe,baseline,method,outcome,projects,nonzero_projects,median_paired_difference,hodges_lehmann_paired_shift,bootstrap_median_ci_lower,bootstrap_median_ci_upper,wins,ties,losses,exact_sign_p,wilcoxon_exact_p,holm_adjusted_wilcoxon_p
codebert,0.01,0.05,unweighted_mondrian,estimated_weight_no_gate_clip_20,max_relative_violation,24,17,0.0,-0.34246575342465746,-0.9262706715789826,0.0,11,7,6,0.332305908203125,0.5790557861328125,1.0
codebert,0.01,0.05,unweighted_mondrian,estimated_weight_no_gate_clip_20,vulnerable_violation,24,14,0.0,0.0,-0.0053097345132743015,0.0,8,10,6,0.79052734375,0.855224609375,1.0
codebert,0.01,0.05,unweighted_mondrian,estimated_weight_no_gate_clip_20,safe_violation,24,10,0.0,-0.004064043829042125,-0.010942384993300597,0.0,9,14,1,0.021484375,0.009765625,0.029296875
codebert,0.01,0.05,unweighted_mondrian,estimated_weight_no_gate_clip_20,singleton_coverage,24,23,-0.024756918474195953,-0.02575393769906178,-0.0603579588728104,0.0,7,1,16,0.0931396484375,0.09798812866210938,0.25748348236083984
codebert,0.01,0.05,unweighted_mondrian,estimated_weight_no_gate_clip_20,review_load,24,23,0.02475691847419592,0.025753937699061702,-0.0018993230570858999,0.06035795887281026,7,1,16,0.0931396484375,0.09798812866210938,0.25748348236083984
codebert,0.01,0.05,unweighted_mondrian,vultriage_ess_only_clip_20,max_relative_violation,24,18,-0.6408218463071487,-0.7326346352062212,-1.3824884792626737,0.0,13,6,5,0.09625244140625,0.11870574951171875,0.474822998046875
codebert,0.01,0.05,unweighted_mondrian,vultriage_ess_only_clip_20,vulnerable_violation,24,15,0.0,-0.00427350427350425,-0.0094805194805194,0.0,10,9,5,0.30175781249999994,0.207763671875,0.8310546875
codebert,0.01,0.05,unweighted_mondrian,vultriage_ess_only_clip_20,safe_violation,24,10,0.0,-0.007534453484527575,-0.0156431442608307,0.0,10,14,0,0.001953125,0.001953125,0.0078125
codebert,0.01,0.05,unweighted_mondrian,vultriage_ess_only_clip_20,singleton_coverage,24,24,-0.032714736709901396,-0.09293891109167424,-0.1879284082254379,-0.011513157894736809,6,0,18,0.022655844688415527,0.007189035415649414,0.028756141662597656
codebert,0.01,0.05,unweighted_mondrian,vultriage_ess_only_clip_20,review_load,24,24,0.032714736709901326,0.09293891109167426,0.011513157894736836,0.187928408225438,6,0,18,0.022655844688415527,0.007189035415649414,0.028756141662597656
