detector,target_group,alpha_vulnerable,alpha_safe,method,max_relative_violation,vulnerable_violation,safe_violation,singleton_coverage,review_load
codebert,FreeRDP,0.01,0.05,entropy_matched_unweighted_mondrian,13.893617021276594,0.1389361702127659,0.0,0.2346938775510204,0.7653061224489796
codebert,FreeRDP,0.01,0.05,estimated_weight_no_gate_clip_10,3.2553191489361692,0.0325531914893617,0.0,0.1653061224489796,0.8346938775510203
codebert,FreeRDP,0.01,0.05,estimated_weight_no_gate_clip_20,0.0,0.0,0.0,0.0622448979591836,0.9377551020408162
codebert,FreeRDP,0.01,0.05,estimated_weight_no_gate_clip_50,0.0,0.0,0.0,0.0622448979591836,0.9377551020408162
codebert,FreeRDP,0.01,0.05,forced_argmax,62.12056737588652,0.6212056737588653,0.1728843861740167,1.0,0.0
codebert,FreeRDP,0.01,0.05,msp_matched_unweighted_mondrian,13.893617021276594,0.1389361702127659,0.0,0.2346938775510204,0.7653061224489796
codebert,FreeRDP,0.01,0.05,msp_matched_vultriage_full_gate,1.127659574468085,0.0112765957446808,0.0,0.0622448979591836,0.9377551020408162
codebert,FreeRDP,0.01,0.05,pooled_split_conformal,18.148936170212764,0.1814893617021276,0.0,0.310204081632653,0.689795918367347
codebert,FreeRDP,0.01,0.05,prom_derived_aps,1.127659574468085,0.0112765957446808,0.0,0.06408163265306116,0.9359183673469389
codebert,FreeRDP,0.01,0.05,prom_derived_lac,18.148936170212764,0.1814893617021276,0.0,0.310204081632653,0.689795918367347
codebert,FreeRDP,0.01,0.05,prom_derived_raps,1.127659574468085,0.0112765957446808,0.0,0.06326530612244896,0.936734693877551
codebert,FreeRDP,0.01,0.05,prom_derived_topk,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.01,0.05,prom_derived_union,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.01,0.05,temperature_msp_matched_unweighted_mondrian,13.893617021276594,0.1389361702127659,0.0,0.2346938775510204,0.7653061224489796
codebert,FreeRDP,0.01,0.05,temperature_msp_matched_vultriage_full_gate,1.127659574468085,0.0112765957446808,0.0,0.0622448979591836,0.9377551020408162
codebert,FreeRDP,0.01,0.05,unweighted_mondrian,10.347517730496454,0.1034751773049645,0.0,0.2346938775510204,0.7653061224489796
codebert,FreeRDP,0.01,0.05,vultriage_ess_only_clip_10,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.01,0.05,vultriage_ess_only_clip_20,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.01,0.05,vultriage_ess_only_clip_50,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.01,0.05,vultriage_full_gate_clip_10,3.2553191489361692,0.0325531914893617,0.0,0.1653061224489796,0.8346938775510203
codebert,FreeRDP,0.01,0.05,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0622448979591836,0.9377551020408162
codebert,FreeRDP,0.01,0.05,vultriage_full_gate_clip_50,0.0,0.0,0.0,0.0622448979591836,0.9377551020408162
codebert,FreeRDP,0.01,0.05,vultriage_infinity_only_clip_10,3.2553191489361692,0.0325531914893617,0.0,0.1653061224489796,0.8346938775510203
codebert,FreeRDP,0.01,0.05,vultriage_infinity_only_clip_20,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.01,0.05,vultriage_infinity_only_clip_50,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.01,0.1,entropy_matched_unweighted_mondrian,17.439716312056735,0.1743971631205673,0.0,0.286734693877551,0.713265306122449
codebert,FreeRDP,0.01,0.1,estimated_weight_no_gate_clip_10,3.2553191489361692,0.0325531914893617,0.0,0.2193877551020408,0.7806122448979592
codebert,FreeRDP,0.01,0.1,estimated_weight_no_gate_clip_20,0.0,0.0,0.0,0.11632653061224478,0.883673469387755
codebert,FreeRDP,0.01,0.1,estimated_weight_no_gate_clip_50,0.0,0.0,0.0,0.11632653061224478,0.883673469387755
codebert,FreeRDP,0.01,0.1,forced_argmax,62.12056737588652,0.6212056737588653,0.1228843861740166,1.0,0.0
codebert,FreeRDP,0.01,0.1,msp_matched_unweighted_mondrian,17.439716312056735,0.1743971631205673,0.0,0.286734693877551,0.713265306122449
codebert,FreeRDP,0.01,0.1,msp_matched_vultriage_full_gate,3.2553191489361692,0.0325531914893617,0.0,0.11632653061224478,0.883673469387755
codebert,FreeRDP,0.01,0.1,pooled_split_conformal,18.148936170212764,0.1814893617021276,0.0,0.310204081632653,0.689795918367347
codebert,FreeRDP,0.01,0.1,prom_derived_aps,1.127659574468085,0.0112765957446808,0.0,0.06408163265306116,0.9359183673469389
codebert,FreeRDP,0.01,0.1,prom_derived_lac,18.148936170212764,0.1814893617021276,0.0,0.310204081632653,0.689795918367347
codebert,FreeRDP,0.01,0.1,prom_derived_raps,1.127659574468085,0.0112765957446808,0.0,0.06326530612244896,0.936734693877551
codebert,FreeRDP,0.01,0.1,prom_derived_topk,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.01,0.1,prom_derived_union,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.01,0.1,temperature_msp_matched_unweighted_mondrian,17.439716312056735,0.1743971631205673,0.0,0.286734693877551,0.713265306122449
codebert,FreeRDP,0.01,0.1,temperature_msp_matched_vultriage_full_gate,3.2553191489361692,0.0325531914893617,0.0,0.11632653061224478,0.883673469387755
codebert,FreeRDP,0.01,0.1,unweighted_mondrian,10.347517730496454,0.1034751773049645,0.0,0.286734693877551,0.713265306122449
codebert,FreeRDP,0.01,0.1,vultriage_ess_only_clip_10,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.01,0.1,vultriage_ess_only_clip_20,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.01,0.1,vultriage_ess_only_clip_50,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.01,0.1,vultriage_full_gate_clip_10,3.2553191489361692,0.0325531914893617,0.0,0.2193877551020408,0.7806122448979592
codebert,FreeRDP,0.01,0.1,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.11632653061224478,0.883673469387755
codebert,FreeRDP,0.01,0.1,vultriage_full_gate_clip_50,0.0,0.0,0.0,0.11632653061224478,0.883673469387755
codebert,FreeRDP,0.01,0.1,vultriage_infinity_only_clip_10,3.2553191489361692,0.0325531914893617,0.0,0.2193877551020408,0.7806122448979592
codebert,FreeRDP,0.01,0.1,vultriage_infinity_only_clip_20,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.01,0.1,vultriage_infinity_only_clip_50,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.01,0.2,entropy_matched_unweighted_mondrian,21.695035460992905,0.216950354609929,0.0,0.3561224489795918,0.6438775510204081
codebert,FreeRDP,0.01,0.2,estimated_weight_no_gate_clip_10,3.2553191489361692,0.0325531914893617,0.0,0.3081632653061224,0.6918367346938775
codebert,FreeRDP,0.01,0.2,estimated_weight_no_gate_clip_20,0.0,0.0,0.0,0.2051020408163265,0.7948979591836735
codebert,FreeRDP,0.01,0.2,estimated_weight_no_gate_clip_50,0.0,0.0,0.0,0.2051020408163265,0.7948979591836735
codebert,FreeRDP,0.01,0.2,forced_argmax,62.12056737588652,0.6212056737588653,0.0228843861740166,1.0,0.0
codebert,FreeRDP,0.01,0.2,msp_matched_unweighted_mondrian,21.695035460992905,0.216950354609929,0.0,0.3561224489795918,0.6438775510204081
codebert,FreeRDP,0.01,0.2,msp_matched_vultriage_full_gate,11.05673758865248,0.1105673758865248,0.0,0.2051020408163265,0.7948979591836735
codebert,FreeRDP,0.01,0.2,pooled_split_conformal,18.148936170212764,0.1814893617021276,0.0,0.310204081632653,0.689795918367347
codebert,FreeRDP,0.01,0.2,prom_derived_aps,1.127659574468085,0.0112765957446808,0.0,0.06408163265306116,0.9359183673469389
codebert,FreeRDP,0.01,0.2,prom_derived_lac,18.148936170212764,0.1814893617021276,0.0,0.310204081632653,0.689795918367347
codebert,FreeRDP,0.01,0.2,prom_derived_raps,1.127659574468085,0.0112765957446808,0.0,0.06326530612244896,0.936734693877551
codebert,FreeRDP,0.01,0.2,prom_derived_topk,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.01,0.2,prom_derived_union,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.01,0.2,temperature_msp_matched_unweighted_mondrian,21.695035460992905,0.216950354609929,0.0,0.3561224489795918,0.6438775510204081
