detector,metric,projects,median,q25,q75,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_replicates,unit
codebert,pr_auc,24,0.19275838277662574,0.14115407846152997,0.27819834031437046,0.1650360631174968,0.2636972050516083,10000,target project after five-seed averaging
codebert,f1,24,0.2710833503993446,0.18582242679680566,0.3660508216063771,0.2020389249304912,0.3558178752107925,10000,target project after five-seed averaging
codebert,mcc,24,0.18320759067909725,0.14277602764828867,0.23257298824682132,0.1466585978359779,0.2104284526984411,10000,target project after five-seed averaging
codebert,brier,24,0.20306575656672485,0.1732672829938936,0.2358035810454436,0.1856392785767393,0.2248207512365062,10000,target project after five-seed averaging
codebert,error_detection_auroc,24,0.7174698304155571,0.6538321430195692,0.7615555662039506,0.7061293341213555,0.7517375244157933,10000,target project after five-seed averaging
hashing,pr_auc,24,0.1882999646782518,0.14864246771074005,0.295443456881191,0.155545761885733,0.2916036286681939,10000,target project after five-seed averaging
hashing,f1,24,0.2677527919568454,0.19740014198393013,0.3425452293909044,0.2027581148559042,0.3112681240609017,10000,target project after five-seed averaging
hashing,mcc,24,0.1617965587428263,0.1131619359470446,0.19804701113766854,0.1361553735577298,0.1861782727362559,10000,target project after five-seed averaging
hashing,brier,24,0.19357142603558275,0.15045349379940093,0.23971055808736466,0.1681757372812012,0.2228338400552544,10000,target project after five-seed averaging
hashing,error_detection_auroc,24,0.6772915124622896,0.6249401942983703,0.7328770348487234,0.6299826222394149,0.724552578971984,10000,target project after five-seed averaging
