detector,target_group,alpha_vulnerable,alpha_safe,method,max_relative_violation,vulnerable_violation,safe_violation,singleton_coverage,review_load,support_pass_all_seeds,severe_raw_violation
codebert,FreeRDP,0.1,0.2,estimated_weight_no_gate_clip_20,4.035460992907801,0.4035460992907801,0.0,0.7969387755102041,0.2030612244897959,True,True
codebert,envoy,0.1,0.2,estimated_weight_no_gate_clip_20,1.795275590551181,0.1795275590551181,0.061704681872749,0.6111957349581112,0.3888042650418888,True,True
codebert,ffmpeg,0.1,0.2,estimated_weight_no_gate_clip_20,0.6762672811059908,0.0,0.1352534562211981,0.7100712105798576,0.2899287894201424,True,True
codebert,ghostpdl,0.1,0.2,estimated_weight_no_gate_clip_20,1.6605504587155964,0.1660550458715596,0.0,0.6978798586572438,0.3021201413427561,True,True
codebert,imagemagick,0.1,0.2,estimated_weight_no_gate_clip_20,1.1333333333333333,0.1133333333333333,0.0298136645962732,0.6883780332056194,0.3116219667943806,False,True
codebert,jasper,0.1,0.2,estimated_weight_no_gate_clip_20,0.921182266009852,0.0921182266009852,0.0839506172839505,0.7680921052631579,0.2319078947368421,True,True
codebert,krb5,0.1,0.2,estimated_weight_no_gate_clip_20,0.694915254237288,0.0694915254237288,0.0761394101876675,0.670061099796334,0.329938900203666,True,True
codebert,librsvg,0.1,0.2,estimated_weight_no_gate_clip_20,5.842105263157895,0.5842105263157895,0.0,0.7791044776119403,0.2208955223880597,True,True
codebert,libtpms,0.1,0.2,estimated_weight_no_gate_clip_20,1.201834862385321,0.1201834862385321,0.0,0.436734693877551,0.563265306122449,True,True
codebert,libxml2,0.1,0.2,estimated_weight_no_gate_clip_20,0.6176470588235294,0.0617647058823529,0.0707900207900207,0.7009708737864078,0.2990291262135922,True,True
codebert,linux,0.1,0.2,estimated_weight_no_gate_clip_20,1.9254617414248016,0.1925461741424801,0.0,0.713027634375949,0.286972365624051,True,True
codebert,mongo,0.1,0.2,estimated_weight_no_gate_clip_20,3.375,0.3375,0.05168986083499,0.9859154929577464,0.0140845070422534,False,True
codebert,mysql-server,0.1,0.2,estimated_weight_no_gate_clip_20,0.7605633802816899,0.076056338028169,0.0,0.8238665971860344,0.1761334028139656,True,True
codebert,net,0.1,0.2,estimated_weight_no_gate_clip_20,0.0344827586206895,0.0034482758620689,0.0,0.6961325966850829,0.3038674033149171,True,False
codebert,openssl,0.1,0.2,estimated_weight_no_gate_clip_20,0.929203539823009,0.0929203539823008,0.0,0.7309283088235294,0.2690716911764705,True,True
codebert,php,0.1,0.2,estimated_weight_no_gate_clip_20,1.2662889518413596,0.1266288951841359,0.0,0.7706013363028953,0.2293986636971046,True,True
codebert,postgres,0.1,0.2,estimated_weight_no_gate_clip_20,0.179110567115463,0.0168831168831168,0.0358221134230926,0.7677543186180422,0.2322456813819577,True,False
codebert,qemu,0.1,0.2,estimated_weight_no_gate_clip_20,3.674556213017751,0.3674556213017751,0.0,0.8356112376613517,0.1643887623386484,True,True
