cohort,detector,method,projects,median_max_relative_violation,median_singleton_coverage,both_budget_attainment_projects
main_exact_deduplicated,hashing,unweighted_mondrian,24,1.2423861589376228,0.6969124382087816,0
near_duplicate_clean_sensitivity,hashing,unweighted_mondrian,24,1.8834733893557423,0.7040710639558181,0
main_exact_deduplicated,hashing,estimated_weight_no_gate_clip_20,24,0.4833670226461353,0.5240100070578746,2
near_duplicate_clean_sensitivity,hashing,estimated_weight_no_gate_clip_20,24,0.4343441090034731,0.5276596097115829,3
main_exact_deduplicated,hashing,vultriage_full_gate_clip_20,24,0.0,0.27775510204081627,13
near_duplicate_clean_sensitivity,hashing,vultriage_full_gate_clip_20,24,0.0,0.214968580872471,14
main_exact_deduplicated,codebert,unweighted_mondrian,24,1.2383562366934702,0.7680339319368932,0
near_duplicate_clean_sensitivity,codebert,unweighted_mondrian,24,1.7512738853503182,0.7692627252622875,1
main_exact_deduplicated,codebert,estimated_weight_no_gate_clip_20,24,1.2442555870317908,0.748972007814906,0
near_duplicate_clean_sensitivity,codebert,estimated_weight_no_gate_clip_20,24,1.798667237595675,0.7694575471698113,0
main_exact_deduplicated,codebert,vultriage_full_gate_clip_20,24,1.2120285423037715,0.724719636308756,2
near_duplicate_clean_sensitivity,codebert,vultriage_full_gate_clip_20,24,1.4344903278913432,0.7356135840186956,2
