detector,method,projects,overall_attainment_projects,overall_median_vulnerable_miscoverage,overall_median_safe_miscoverage,overall_median_vulnerable_violation,overall_median_safe_violation,overall_median_max_relative_violation,overall_median_singleton_coverage,overall_median_review_load,support_recorded,support_pass_projects,supported_attainment_projects,supported_median_vulnerable_miscoverage,supported_median_safe_miscoverage,supported_median_vulnerable_violation,supported_median_safe_violation,supported_median_max_relative_violation,supported_median_singleton_coverage,supported_median_review_load
codebert,entropy_matched_unweighted_mondrian,24,0,0.2530862593237518,0.18473764139086712,0.1530862593237518,0.0,1.5308625932375184,0.7680339319368932,0.23196606806310682,False,,,,,,,,,
codebert,estimated_weight_no_gate_clip_10,24,0,0.22584198929807991,0.19222044189576654,0.12584198929807988,0.0,1.2584198929807995,0.7503144349845201,0.24968556501547984,False,,,,,,,,,
codebert,estimated_weight_no_gate_clip_20,24,0,0.22442555870317907,0.18935361575314041,0.12442555870317905,0.0,1.2442555870317908,0.748972007814906,0.25102799218509386,False,,,,,,,,,
codebert,estimated_weight_no_gate_clip_50,24,0,0.22442555870317907,0.19266651681371894,0.12442555870317905,0.0,1.2442555870317908,0.740013372191487,0.259986627808513,False,,,,,,,,,
codebert,forced_argmax,24,0,0.3676967648478996,0.3231533016630732,0.26769676484789956,0.12315330166307314,2.6769676484789953,1.0,0.0,False,,,,,,,,,
codebert,msp_matched_unweighted_mondrian,24,0,0.2530862593237518,0.18473764139086712,0.1530862593237518,0.0,1.5308625932375184,0.7680339319368932,0.23196606806310682,False,,,,,,,,,
codebert,msp_matched_vultriage_full_gate,24,2,0.22031338800032474,0.1840605210591185,0.1203133880003247,0.0,1.2031338800032478,0.724719636308756,0.27528036369124387,False,,,,,,,,,
codebert,pooled_split_conformal,24,2,0.18806039971931282,0.10064498673369635,0.0880603997193128,0.0,0.8806039971931282,0.5974494485294117,0.40255055147058827,False,,,,,,,,,
codebert,prom_derived_aps,24,18,0.05197950628784345,0.00419541129005562,0.0,0.0,0.0,0.243554503633273,0.7564454963667271,False,,,,,,,,,
codebert,prom_derived_lac,24,2,0.18806039971931282,0.10064498673369635,0.0880603997193128,0.0,0.8806039971931282,0.5974494485294117,0.40255055147058827,False,,,,,,,,,
codebert,prom_derived_raps,24,18,0.05197950628784345,0.00430387115990378,0.0,0.0,0.0,0.24337748457075073,0.7566225154292492,False,,,,,,,,,
codebert,prom_derived_topk,24,24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,,,,,,,,,
codebert,prom_derived_union,24,24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,,,,,,,,,
codebert,temperature_msp_matched_unweighted_mondrian,24,0,0.2530862593237518,0.18473764139086712,0.1530862593237518,0.0,1.5308625932375184,0.7680339319368932,0.23196606806310682,False,,,,,,,,,
codebert,temperature_msp_matched_vultriage_full_gate,24,2,0.22031338800032474,0.1840605210591185,0.1203133880003247,0.0,1.2031338800032478,0.724719636308756,0.27528036369124387,False,,,,,,,,,
codebert,unweighted_mondrian,24,0,0.21598617355822958,0.22214398956063358,0.11598617355822956,0.0221439895606336,1.2383562366934702,0.7680339319368932,0.23196606806310682,False,,,,,,,,,
codebert,vultriage_ess_only_clip_10,24,0,0.22584198929807991,0.19222044189576654,0.12584198929807988,0.0,1.2584198929807995,0.7503144349845201,0.24968556501547984,True,24.0,0.0,0.22584198929807991,0.19222044189576654,0.12584198929807988,0.0,1.2584198929807995,0.7503144349845201,0.24968556501547984
codebert,vultriage_ess_only_clip_20,24,0,0.22442555870317907,0.18935361575314041,0.12442555870317905,0.0,1.2442555870317908,0.748972007814906,0.25102799218509386,True,24.0,0.0,0.22442555870317907,0.18935361575314041,0.12442555870317905,0.0,1.2442555870317908,0.748972007814906,0.25102799218509386
codebert,vultriage_ess_only_clip_50,24,0,0.22442555870317907,0.19266651681371894,0.12442555870317905,0.0,1.2442555870317908,0.740013372191487,0.259986627808513,True,24.0,0.0,0.22442555870317907,0.19266651681371894,0.12442555870317905,0.0,1.2442555870317908,0.740013372191487,0.259986627808513
codebert,vultriage_full_gate_clip_10,24,1,0.22120285423037717,0.18216981956338618,0.12120285423037716,0.0,1.2120285423037715,0.7296144870783563,0.2703855129216437,True,23.0,0.0,0.22222222222222224,0.1908163265306122,0.1222222222222222,0.0,1.222222222222222,0.7325367647058824,0.2674632352941176
codebert,vultriage_full_gate_clip_20,24,2,0.22120285423037717,0.1779632581567899,0.12120285423037716,0.0,1.2120285423037715,0.724719636308756,0.27528036369124387,True,22.0,0.0,0.22442555870317907,0.18603240814688304,0.12442555870317905,0.0,1.2442555870317908,0.748972007814906,0.25102799218509386
codebert,vultriage_full_gate_clip_50,24,2,0.22120285423037717,0.17797206261145232,0.12120285423037716,0.0,1.2120285423037715,0.7240948026967033,0.27590519730329666,True,22.0,0.0,0.22442555870317907,0.18922158512203402,0.12442555870317905,0.0,1.2442555870317908,0.740013372191487,0.259986627808513
codebert,vultriage_infinity_only_clip_10,24,0,0.22584198929807991,0.19222044189576654,0.12584198929807988,0.0,1.2584198929807995,0.7503144349845201,0.24968556501547984,True,24.0,0.0,0.22584198929807991,0.19222044189576654,0.12584198929807988,0.0,1.2584198929807995,0.7503144349845201,0.24968556501547984
codebert,vultriage_infinity_only_clip_20,24,0,0.22442555870317907,0.18935361575314041,0.12442555870317905,0.0,1.2442555870317908,0.748972007814906,0.25102799218509386,True,24.0,0.0,0.22442555870317907,0.18935361575314041,0.12442555870317905,0.0,1.2442555870317908,0.748972007814906,0.25102799218509386
codebert,vultriage_infinity_only_clip_50,24,0,0.22442555870317907,0.19266651681371894,0.12442555870317905,0.0,1.2442555870317908,0.740013372191487,0.259986627808513,True,24.0,0.0,0.22442555870317907,0.19266651681371894,0.12442555870317905,0.0,1.2442555870317908,0.740013372191487,0.259986627808513
hashing,entropy_matched_unweighted_mondrian,24,0,0.2927616233867205,0.10522426647426641,0.19276162338672054,0.0,1.9276162338672056,0.6969124382087816,0.3030875617912183,False,,,,,,,,,
hashing,estimated_weight_no_gate_clip_10,24,1,0.15260673234811162,0.21171466214944473,0.05260673234811163,0.01178606339896656,0.731149105086782,0.6218754961932725,0.37812450380672746,False,,,,,,,,,
hashing,estimated_weight_no_gate_clip_20,24,2,0.11045408492216999,0.21679691323169584,0.01285253753338855,0.01749256540560883,0.4833670226461353,0.5240100070578746,0.4759899929421254,False,,,,,,,,,
hashing,estimated_weight_no_gate_clip_50,24,4,0.09415123883208984,0.21093798962431665,0.0035606060606060298,0.01206399498624695,0.13789092210639337,0.45666068654014547,0.5433393134598545,False,,,,,,,,,
hashing,forced_argmax,24,0,0.5150862068965518,0.23437251744498122,0.4150862068965517,0.034372517444981154,4.150862068965517,1.0,0.0,False,,,,,,,,,
hashing,msp_matched_unweighted_mondrian,24,0,0.2927616233867205,0.10522426647426641,0.19276162338672054,0.0,1.9276162338672056,0.6969124382087816,0.3030875617912183,False,,,,,,,,,
hashing,msp_matched_vultriage_full_gate,24,11,0.09387061056627644,0.01145530474849804,0.00879152167035744,0.0,0.08791521670357477,0.27775510204081627,0.7222448979591837,False,,,,,,,,,
hashing,pooled_split_conformal,24,0,0.24623697714196857,0.0822925685425685,0.14623697714196854,0.0,1.4623697714196857,0.6013107807121576,0.3986892192878424,False,,,,,,,,,
hashing,prom_derived_aps,24,13,0.06449833691212997,0.01935310688591017,0.0,0.0,0.0,0.2614617817306754,0.7385382182693245,False,,,,,,,,,
hashing,prom_derived_lac,24,0,0.24623697714196857,0.08231962481962476,0.14623697714196854,0.0,1.4623697714196857,0.6014641968702091,0.39853580312979087,False,,,,,,,,,
hashing,prom_derived_raps,24,13,0.06613300492610834,0.01921782550062879,0.0,0.0,0.0,0.26182567233585896,0.738174327664141,False,,,,,,,,,
hashing,prom_derived_topk,24,24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,,,,,,,,,
hashing,prom_derived_union,24,24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,,,,,,,,,
hashing,temperature_msp_matched_unweighted_mondrian,24,0,0.2927616233867205,0.10522426647426641,0.19276162338672054,0.0,1.9276162338672056,0.6969124382087816,0.3030875617912183,False,,,,,,,,,
hashing,temperature_msp_matched_vultriage_full_gate,24,11,0.09387061056627644,0.01145530474849804,0.00879152167035744,0.0,0.08791521670357477,0.27775510204081627,0.7222448979591837,False,,,,,,,,,
hashing,unweighted_mondrian,24,0,0.21301878549584968,0.18846591519055284,0.11301878549584968,0.0052130971551261306,1.2423861589376228,0.6969124382087816,0.3030875617912183,False,,,,,,,,,
hashing,vultriage_ess_only_clip_10,24,1,0.15260673234811162,0.21171466214944473,0.05260673234811163,0.01178606339896656,0.731149105086782,0.6218754961932725,0.37812450380672746,True,24.0,1.0,0.15260673234811162,0.21171466214944473,0.05260673234811163,0.01178606339896656,0.731149105086782,0.6218754961932725,0.37812450380672746
hashing,vultriage_ess_only_clip_20,24,2,0.11045408492216999,0.21679691323169584,0.01285253753338855,0.01749256540560883,0.4833670226461353,0.5240100070578746,0.4759899929421254,True,24.0,2.0,0.11045408492216999,0.21679691323169584,0.01285253753338855,0.01749256540560883,0.4833670226461353,0.5240100070578746,0.4759899929421254
