detector,alpha_vulnerable,alpha_safe,baseline,method,outcome,projects,nonzero_projects,median_paired_difference,hodges_lehmann_paired_shift,bootstrap_median_ci_lower,bootstrap_median_ci_upper,wins,ties,losses,exact_sign_p,wilcoxon_exact_p,holm_adjusted_wilcoxon_p
codebert,0.1,0.2,unweighted_mondrian,estimated_weight_no_gate_clip_20,max_relative_violation,24,24,-0.0051684850202501,0.1263512111313576,-0.2836879432624117,0.5504587155963303,12,0,12,1.0,0.5270590782165527,1.0
codebert,0.1,0.2,unweighted_mondrian,estimated_weight_no_gate_clip_20,vulnerable_violation,24,22,0.0298071303331384,0.0299035651665692,0.0,0.0617647058823529,7,2,15,0.1338005065917968,0.0794272422790527,0.3177089691162109
codebert,0.1,0.2,unweighted_mondrian,estimated_weight_no_gate_clip_20,safe_violation,24,17,-0.0075469672571122,-0.0223198848029206,-0.0379191972537628,0.0,14,7,3,0.012725830078125,0.007904052734375,0.023712158203125
codebert,0.1,0.2,unweighted_mondrian,estimated_weight_no_gate_clip_20,singleton_coverage,24,24,-0.0234769578006771,-0.0229892619061689,-0.039674465920651,0.0019487750556792,8,0,16,0.1515896320343017,0.0646493434906005,0.1939480304718017
codebert,0.1,0.2,unweighted_mondrian,estimated_weight_no_gate_clip_20,review_load,24,24,0.023476957800677,0.0229892619061689,-0.0019487750556793,0.0396744659206511,8,0,16,0.1515896320343017,0.0646493434906005,0.1939480304718017
hashing,0.1,0.2,unweighted_mondrian,estimated_weight_no_gate_clip_20,max_relative_violation,24,24,-0.8161118816458621,-1.0300745689515989,-1.7218934911242605,-0.3174311926605505,24,0,0,1.1920928955078125e-07,1.1920928955078125e-07,5.960464477539062e-07
hashing,0.1,0.2,unweighted_mondrian,estimated_weight_no_gate_clip_20,vulnerable_violation,24,23,-0.0852857142857142,-0.1026121035687386,-0.1729064039408867,-0.0308407382091592,23,1,0,2.384185791015625e-07,2.384185791015625e-07,1.1920928955078125e-06
hashing,0.1,0.2,unweighted_mondrian,estimated_weight_no_gate_clip_20,safe_violation,24,17,0.0,-0.0016869478353814,-0.0109563164108618,0.0023403305046895,9,7,8,1.0,0.4873809814453125,0.974761962890625
hashing,0.1,0.2,unweighted_mondrian,estimated_weight_no_gate_clip_20,singleton_coverage,24,24,-0.1587373507149851,-0.1582571589182363,-0.1985788035226238,-0.1021260440394837,0,0,24,1.1920928955078125e-07,1.1920928955078125e-07,5.960464477539062e-07
hashing,0.1,0.2,unweighted_mondrian,estimated_weight_no_gate_clip_20,review_load,24,24,0.158737350714985,0.1582571589182362,0.1021260440394836,0.1985788035226237,0,0,24,1.1920928955078125e-07,1.1920928955078125e-07,5.960464477539062e-07
