alpha_vulnerable,alpha_safe,baseline,method,outcome,projects,nonzero_projects,median_paired_difference,hodges_lehmann_paired_shift,bootstrap_median_ci_lower,bootstrap_median_ci_upper,favorable_direction,wins,ties,losses,common_language_win_rate_excluding_ties,exact_sign_p,wilcoxon_exact_p,holm_adjusted_wilcoxon_p
0.01,0.05,unweighted_mondrian,vultriage_clip_20,vulnerable_violation,12,4,0.0,-0.00149350649350645,-0.01005282852740472,0.0,lower,4,8,0,1.0,0.125,,
0.01,0.05,unweighted_mondrian,vultriage_clip_20,safe_violation,12,6,-0.0024299065420560597,-0.00630904183535759,-0.02701288095784386,0.0,lower,6,6,0,1.0,0.03125,,
0.01,0.05,unweighted_mondrian,vultriage_clip_20,absolute_target_difference_sum,12,12,0.013740809325161762,0.010164252864386224,-0.015690667707656814,0.03685789004698932,lower,3,0,9,0.25,0.14599609375,0.30126953125,1.0
0.01,0.05,unweighted_mondrian,vultriage_clip_20,singleton_coverage,12,12,-0.15101125833755485,-0.17787593438315286,-0.23535473503583873,-0.13495466253260013,higher,0,0,12,0.0,0.00048828125,0.00048828125,0.001953125
0.01,0.05,unweighted_mondrian,vultriage_clip_20,review_load,12,12,0.1510112583375549,0.17787593438315286,0.13495466253260013,0.2353547350358387,lower,0,0,12,0.0,0.00048828125,0.00048828125,0.001953125
0.01,0.05,unweighted_mondrian,estimated_weight_no_support_clip_20,vulnerable_violation,12,5,0.0,-0.00149350649350645,-0.01005282852740472,0.0,lower,4,7,1,0.8,0.375,,
0.01,0.05,unweighted_mondrian,estimated_weight_no_support_clip_20,safe_violation,12,7,0.0,0.0,-0.005209117747363819,0.0004723346828610104,lower,4,5,3,0.5714285714285714,1.0,,
0.01,0.05,unweighted_mondrian,estimated_weight_no_support_clip_20,absolute_target_difference_sum,12,12,-0.0049947191040831986,-0.011167275324051401,-0.027919904528583443,0.0052711945538316,lower,6,0,6,0.5,1.0,0.26611328125,1.0
0.01,0.05,unweighted_mondrian,estimated_weight_no_support_clip_20,singleton_coverage,12,12,-0.06373128824300699,-0.08770023545153802,-0.12660590628016727,-0.05834542193313348,higher,0,0,12,0.0,0.00048828125,0.00048828125,0.001953125
0.01,0.05,unweighted_mondrian,estimated_weight_no_support_clip_20,review_load,12,12,0.06373128824300689,0.08770023545153804,0.05834542193313341,0.12660590628016727,lower,0,0,12,0.0,0.00048828125,0.00048828125,0.001953125
0.01,0.05,unweighted_mondrian,msp_matched_vultriage,vulnerable_violation,12,4,0.0,-0.00149350649350645,-0.01005282852740472,0.0,lower,4,8,0,1.0,0.125,,
0.01,0.05,unweighted_mondrian,msp_matched_vultriage,safe_violation,12,6,-0.0024299065420560597,-0.00630904183535759,-0.02701288095784386,0.0,lower,6,6,0,1.0,0.03125,,
0.01,0.05,unweighted_mondrian,msp_matched_vultriage,absolute_target_difference_sum,12,12,0.013740809325161762,0.010164252864386224,-0.015690667707656814,0.03685789004698932,lower,3,0,9,0.25,0.14599609375,0.30126953125,1.0
0.01,0.05,unweighted_mondrian,msp_matched_vultriage,singleton_coverage,12,12,-0.15101125833755485,-0.17787593438315286,-0.23535473503583873,-0.13495466253260013,higher,0,0,12,0.0,0.00048828125,0.00048828125,0.001953125
